nodes,tasks,clients,xfersize,blocksize,write,read
3,3,1,4K,4M,37,83
3,6,2,4K,4M,124,138
3,9,3,4K,4M,143,182
3,12,4,4K,4M,191,240
3,15,5,4K,4M,181,251
3,18,6,4K,4M,214,292
3,21,7,4K,4M,206,293
3,24,8,4K,4M,193,288
3,27,9,4K,4M,197,317
3,30,10,4K,4M,225,343
3,33,11,4K,4M,256,356
3,36,12,4K,4M,223,350
3,39,13,4K,4M,250,355
3,42,14,4K,4M,243,347
3,45,15,4K,4M,257,325
3,48,16,4K,4M,214,311
,,,,,,
3,54,18,4K,4M,193,203
3,57,19,4K,4M,235,226
3,60,20,4K,4M,225,153
3,63,21,4K,4M,165,175
3,66,22,4K,4M,113,92
3,69,23,4K,4M,73,99
3,72,24,4K,4M,82,138
3,75,25,4K,4M,118,133
3,78,26,4K,4M,226,63
3,81,27,4K,4M,221,48
3,84,28,4K,4M,52,35
3,87,29,4K,4M,203,41
3,90,30,4K,4M,119,40
3,93,31,4K,4M,166,33
3,96,32,4K,4M,150,29
3,99,33,4K,4M,53,26
3,102,34,4K,4M,66,28
3,105,35,4K,4M,67,24
3,108,36,4K,4M,44,24
3,111,37,4K,4M,54,23
3,114,38,4K,4M,48,22
3,117,39,4K,4M,39,20
3,120,40,4K,4M,30,18
3,123,41,4K,4M,28,15
3,126,42,4K,4M,29,17
3,129,43,4K,4M,19,14
3,132,44,4K,4M,19,15
3,135,45,4K,4M,19,13
3,138,46,4K,4M,16,13
3,141,47,4K,4M,15,13
3,144,48,4K,4M,13,12
3,3,1,1M,200M,2732,2234
3,6,2,1M,200M,2963,3667
3,9,3,1M,200M,2981,4782
3,12,4,1M,200M,2854,3810
3,15,5,1M,200M,2964,6254
3,18,6,1M,200M,2967,6402
3,21,7,1M,200M,2959,7020
3,24,8,1M,200M,3043,5458
3,27,9,1M,200M,2963,7382
3,30,10,1M,200M,3176,7304
3,33,11,1M,200M,2936,7647
3,36,12,1M,200M,3079,7544
3,39,13,1M,200M,3040,7326
3,42,14,1M,200M,3039,7038
3,45,15,1M,200M,3143,6701
3,48,16,1M,200M,3082,5725
3,51,17,1M,200M,3139,5728
3,54,18,1M,200M,3038,5691
3,57,19,1M,200M,3148,4545
3,60,20,1M,200M,3138,4421
3,63,21,1M,200M,3226,4052
3,66,22,1M,200M,3210,4071
3,69,23,1M,200M,3204,3292
3,72,24,1M,200M,3221,3184
3,75,25,1M,200M,3109,3281
3,78,26,1M,200M,3118,3291
3,81,27,1M,200M,3132,2955
3,84,28,1M,200M,3129,2841
3,87,29,1M,200M,3091,2671
3,90,30,1M,200M,3145,2443
3,93,31,1M,200M,3113,2495
3,96,32,1M,200M,2965,2261
3,99,33,1M,200M,2883,2022
3,102,34,1M,200M,2757,2039
3,105,35,1M,200M,2759,1996
3,108,36,1M,200M,2533,1923
3,111,37,1M,200M,2509,1894
3,114,38,1M,200M,2428,1799
3,117,39,1M,200M,2301,1718
3,120,40,1M,200M,2299,1626
3,123,41,1M,200M,2164,1670
3,126,42,1M,200M,2030,1652
3,129,43,1M,200M,2032,1601
3,132,44,1M,200M,1938,1696
3,135,45,1M,200M,1960,1617
3,138,46,1M,200M,1883,1561
3,141,47,1M,200M,1771,1583
3,144,48,1M,200M,1671,1623
3,3,1,4M,400M,3063,4137
3,6,2,4M,400M,3217,6703
3,9,3,4M,400M,3151,7422
3,12,4,4M,400M,3325,8283
3,15,5,4M,400M,3178,8425
3,18,6,4M,400M,3252,8517
3,21,7,4M,400M,3257,8502
3,24,8,4M,400M,3212,8409
3,27,9,4M,400M,3218,8611
3,30,10,4M,400M,3246,8512
3,33,11,4M,400M,3293,5164
3,36,12,4M,400M,3263,8119
3,39,13,4M,400M,3263,7655
3,42,14,4M,400M,3212,7419
3,45,15,4M,400M,3173,7000
3,48,16,4M,400M,3159,6886
3,51,17,4M,400M,3184,7163
3,54,18,4M,400M,3184,6986
3,57,19,4M,400M,3153,5137
3,60,20,4M,400M,3188,5770
3,63,21,4M,400M,3228,4892
3,66,22,4M,400M,3188,4424
3,69,23,4M,400M,3224,4383
3,72,24,4M,400M,3231,4455
3,75,25,4M,400M,3134,4815
3,78,26,4M,400M,3204,4252
3,81,27,4M,400M,3154,4054
3,84,28,4M,400M,3022,4040
3,87,29,4M,400M,3049,3906
3,90,30,4M,400M,3030,3774
3,93,31,4M,400M,2945,3799
3,96,32,4M,400M,2969,3680
3,99,33,4M,400M,3085,3522
3,102,34,4M,400M,3006,3535
3,105,35,4M,400M,2947,3501
3,108,36,4M,400M,3003,3508
3,111,37,4M,400M,3053,3583
3,114,38,4M,400M,3035,3403
3,117,39,4M,400M,3149,3554
3,120,40,4M,400M,3126,3546
3,123,41,4M,400M,3168,3365
3,126,42,4M,400M,3206,3422
3,129,43,4M,400M,3141,3509
3,132,44,4M,400M,3184,3399
3,135,45,4M,400M,3137,3228
3,138,46,4M,400M,3067,3377
3,141,47,4M,400M,3094,3303
3,144,48,4M,400M,3002,3239
3,3,1,64M,640M,3329,5717
3,6,2,64M,640M,3104,8264
3,9,3,64M,640M,3238,8591
3,12,4,64M,640M,3252,8866
3,15,5,64M,640M,3287,8921
3,18,6,64M,640M,3221,8696
3,21,7,64M,640M,3212,8599
3,24,8,64M,640M,3179,8779
3,27,9,64M,640M,3249,8643
3,30,10,64M,640M,3256,8820
3,33,11,64M,640M,3286,8767
,,,,,,
3,39,13,64M,640M,3233,8227
3,42,14,64M,640M,3199,8191
3,45,15,64M,640M,3179,8078
3,48,16,64M,640M,3166,8253
3,51,17,64M,640M,3212,8762
3,54,18,64M,640M,3210,8563
3,57,19,64M,640M,3233,6542
3,60,20,64M,640M,3136,5692
3,63,21,64M,640M,3194,8667
3,66,22,64M,640M,3236,8945
3,69,23,64M,640M,3241,8859
3,72,24,64M,640M,3181,8471
3,75,25,64M,640M,3174,8584
3,78,26,64M,640M,3230,8009
3,81,27,64M,640M,3227,8109
3,84,28,64M,640M,3162,7954
3,87,29,64M,640M,3197,6008
3,90,30,64M,640M,3215,7873
3,93,31,64M,640M,3163,8179
3,96,32,64M,640M,3211,7661
3,99,33,64M,640M,3249,7723
3,102,34,64M,640M,3155,7612
3,105,35,64M,640M,3195,7601
3,108,36,64M,640M,3095,5675
3,111,37,64M,640M,3188,7197
3,114,38,64M,640M,3243,7132
3,117,39,64M,640M,3146,6742
3,120,40,64M,640M,3177,6773
3,123,41,64M,640M,3141,6892
3,126,42,64M,640M,3182,6472
3,129,43,64M,640M,3140,6310
3,132,44,64M,640M,3163,6244
3,135,45,64M,640M,3139,6167
3,138,46,64M,640M,3119,6236
3,141,47,64M,640M,3140,6316
3,144,48,64M,640M,3178,5874
3,3,1,128M,1280M,3220,5699
3,6,2,128M,1280M,3225,7503
3,9,3,128M,1280M,3283,8330
3,12,4,128M,1280M,3190,8407
3,15,5,128M,1280M,3224,7830
3,18,6,128M,1280M,3223,8309
3,21,7,128M,1280M,3227,8623
3,24,8,128M,1280M,3182,8064
3,27,9,128M,1280M,3165,8366
3,30,10,128M,1280M,3193,8459
3,33,11,128M,1280M,3203,8396
3,36,12,128M,1280M,3179,5833
3,39,13,128M,1280M,3151,8605
3,42,14,128M,1280M,3187,6532
3,45,15,128M,1280M,3203,5474
3,48,16,128M,1280M,3199,8375
3,51,17,128M,1280M,3100,8086
3,54,18,128M,1280M,3081,8431
3,57,19,128M,1280M,2977,8491
3,60,20,128M,1280M,3055,6147
3,63,21,128M,1280M,3031,6136
3,66,22,128M,1280M,3040,8234
3,69,23,128M,1280M,3086,8115
3,72,24,128M,1280M,3216,6271
3,75,25,128M,1280M,3211,6239
3,78,26,128M,1280M,3173,5809
3,81,27,128M,1280M,3199,8417
3,84,28,128M,1280M,3257,5808
3,87,29,128M,1280M,3168,5773
3,90,30,128M,1280M,3192,8121
3,93,31,128M,1280M,3232,7788
3,96,32,128M,1280M,3158,7800
3,99,33,128M,1280M,3143,5632
3,102,34,128M,1280M,3185,5583
3,105,35,128M,1280M,3215,7227
3,108,36,128M,1280M,3181,7401
3,111,37,128M,1280M,3177,5553
3,114,38,128M,1280M,3128,6988
3,117,39,128M,1280M,3160,6707
,,,,,,
3,123,41,128M,1280M,3133,6402
3,126,42,128M,1280M,3130,6330
3,129,43,128M,1280M,3127,6069
3,132,44,128M,1280M,3194,5788
3,135,45,128M,1280M,3196,5941
3,138,46,128M,1280M,3210,5247
3,141,47,128M,1280M,3090,5401
3,144,48,128M,1280M,3193,5222
