nodes,tasks,clients,xfersize,blocksize,write,read
1,1,1,4K,700G,1142,1215
1,2,2,4K,350G,1192,2374
1,3,3,4K,233G,1185,3009
1,4,4,4K,175G,1199,3015
1,5,5,4K,140G,1189,3019
1,6,6,4K,116G,1199,3002
1,7,7,4K,100G,1200,2987
1,8,8,4K,87G,1202,2942
1,9,9,4K,77G,1209,2897
1,10,10,4K,70G,1199,2823
1,11,11,4K,63G,1215,2819
1,12,12,4K,58G,1211,2810
1,13,13,4K,53G,1196,2797
1,14,14,4K,50G,1205,2800
1,15,15,4K,46G,1193,2791
1,16,16,4K,43G,1208,2780
1,17,17,4K,41G,1136,2794
1,18,18,4K,38G,1202,2804
1,19,19,4K,36G,1203,2761
1,20,20,4K,35G,1207,2780
1,21,21,4K,33G,1157,2805
1,22,22,4K,31G,1144,2771
1,23,23,4K,30G,1190,2805
1,24,24,4K,29G,1194,2866
1,25,25,4K,28G,1167,2813
1,26,26,4K,26G,1161,2811
1,27,27,4K,25G,1144,2802
1,28,28,4K,25G,1162,2833
1,29,29,4K,24G,1167,2808
1,30,30,4K,23G,1153,2820
1,31,31,4K,22G,1131,2799
1,32,32,4K,21G,1188,2755
1,33,33,4K,21G,1179,2829
1,34,34,4K,20G,1160,2787
1,35,35,4K,20G,1182,2792
1,36,36,4K,19G,1168,2714
1,37,37,4K,18G,1145,2798
1,38,38,4K,18G,1171,2814
1,39,39,4K,17G,1170,2816
1,40,40,4K,17G,1173,2769
1,41,41,4K,17G,1179,2878
1,42,42,4K,16G,1179,2880
1,43,43,4K,16G,1168,2881
1,44,44,4K,15G,1179,2787
1,45,45,4K,15G,1174,2778
1,46,46,4K,15G,1181,2848
1,47,47,4K,14G,1168,2818
1,48,48,4K,14G,1165,2802
1,1,1,1M,200G,1388,1687
1,2,2,1M,100G,1397,3064
1,3,3,1M,66G,1340,3013
1,4,4,1M,50G,1337,3019
1,5,5,1M,40G,1365,3008
1,6,6,1M,33G,1405,2982
1,7,7,1M,28G,1316,2953
1,8,8,1M,25G,1402,2929
1,9,9,1M,22G,1409,2881
1,10,10,1M,20G,1358,2831
1,11,11,1M,18G,1408,2880
1,12,12,1M,16G,1368,2820
1,13,13,1M,15G,1423,2767
1,14,14,1M,14G,1351,2673
1,15,15,1M,13G,1370,2958
1,16,16,1M,12G,1326,2926
1,17,17,1M,11G,1371,2865
1,18,18,1M,11G,1338,2937
1,19,19,1M,10G,1364,3114
1,20,20,1M,10G,1355,2838
1,21,21,1M,9G,1322,2902
1,22,22,1M,9G,1346,2923
1,23,23,1M,8G,1393,2872
1,24,24,1M,8G,1306,2772
1,25,25,1M,8G,1339,2949
1,26,26,1M,7G,1411,2969
1,27,27,1M,7G,1345,3058
1,28,28,1M,7G,1357,2857
1,29,29,1M,6G,1412,2746
1,30,30,1M,6G,1389,3003
1,31,31,1M,6G,1404,2917
1,32,32,1M,6G,1361,2942
1,33,33,1M,6G,1353,3100
1,34,34,1M,5G,1419,2772
1,35,35,1M,5G,1381,2982
1,36,36,1M,5G,1335,3084
1,37,37,1M,5G,1317,3097
1,38,38,1M,5G,1416,3131
1,39,39,1M,5G,1353,2975
1,40,40,1M,5G,1290,3015
1,41,41,1M,4G,1466,3184
1,42,42,1M,4G,1411,2812
1,43,43,1M,4G,1437,2637
1,44,44,1M,4G,1412,2825
1,45,45,1M,4G,1342,3082
1,46,46,1M,4G,1420,3003
1,47,47,1M,4G,1329,3020
1,48,48,1M,4G,1334,3090
1,1,1,4M,300G,1199,1660
1,2,2,4M,150G,1245,2816
1,3,3,4M,100G,1255,2994
1,4,4,4M,75G,1252,2974
1,5,5,4M,60G,1273,3022
1,6,6,4M,50G,1277,2979
1,7,7,4M,42G,1282,2973
1,8,8,4M,37G,1306,2947
1,9,9,4M,33G,1212,2886
1,10,10,4M,30G,1284,2829
1,11,11,4M,27G,1245,2812
1,12,12,4M,25G,1227,2831
1,13,13,4M,23G,1255,2786
1,14,14,4M,21G,1273,2829
1,15,15,4M,20G,1210,2821
1,16,16,4M,18G,1256,2766
1,17,17,4M,17G,1253,2822
1,18,18,4M,16G,1261,2653
1,19,19,4M,15G,1307,2706
1,20,20,4M,15G,1252,2837
1,21,21,4M,14G,1268,2757
1,22,22,4M,13G,1253,2865
1,23,23,4M,13G,1227,2838
1,24,24,4M,12G,1277,2675
1,25,25,4M,12G,1248,2801
1,26,26,4M,11G,1287,2618
1,27,27,4M,11G,1239,2835
1,28,28,4M,10G,1280,2726
1,29,29,4M,10G,1246,2816
1,30,30,4M,10G,1277,2805
1,31,31,4M,9G,1259,2798
1,32,32,4M,9G,1260,2804
1,33,33,4M,9G,1263,2781
1,34,34,4M,8G,1224,2788
1,35,35,4M,8G,1289,2904
1,36,36,4M,8G,1238,2720
1,37,37,4M,8G,1301,2837
1,38,38,4M,7G,1255,2937
1,39,39,4M,7G,1269,2812
1,40,40,4M,7G,1261,2964
1,41,41,4M,7G,1229,2717
1,42,42,4M,7G,1280,2910
1,43,43,4M,6G,1269,2888
1,44,44,4M,6G,1294,2781
1,45,45,4M,6G,1274,2727
1,46,46,4M,6G,1290,2745
1,47,47,4M,6G,1278,2928
1,48,48,4M,6G,1285,2827
1,1,1,64M,300G,1251,1539
1,2,2,64M,150G,1274,2584
1,3,3,64M,100G,1278,2987
1,4,4,64M,75G,1290,3005
1,5,5,64M,60G,1286,3000
1,6,6,64M,50G,1296,3008
1,7,7,64M,42G,1294,2963
1,8,8,64M,37G,1287,2948
1,9,9,64M,33G,1258,2887
1,10,10,64M,30G,1277,2833
1,11,11,64M,27G,1264,2826
1,12,12,64M,25G,1268,2770
1,13,13,64M,23G,1298,2779
1,14,14,64M,21G,1262,2711
1,15,15,64M,20G,1259,2733
1,16,16,64M,18G,1252,2655
1,17,17,64M,17G,1282,2727
1,18,18,64M,16G,1302,2658
1,19,19,64M,15G,1245,2759
1,20,20,64M,15G,1249,2680
1,21,21,64M,14G,1268,2671
1,22,22,64M,13G,1260,2828
1,23,23,64M,13G,1242,2647
1,24,24,64M,12G,1217,2873
1,25,25,64M,12G,1276,2683
1,26,26,64M,11G,1241,2715
1,27,27,64M,11G,1269,2727
1,28,28,64M,10G,1266,2806
1,29,29,64M,10G,1254,2741
1,30,30,64M,10G,1262,2608
1,31,31,64M,9G,1299,2763
1,32,32,64M,9G,1255,2637
1,33,33,64M,9G,1242,2796
1,34,34,64M,8G,1250,2890
1,35,35,64M,8G,1236,2923
1,36,36,64M,8G,1264,2786
1,37,37,64M,8G,1297,2881
1,38,38,64M,7G,1261,2881
1,39,39,64M,7G,1297,2878
1,40,40,64M,7G,1205,2905
1,41,41,64M,7G,1285,2821
1,42,42,64M,7G,1284,2793
1,43,43,64M,6G,1303,2772
1,44,44,64M,6G,1322,2835
1,45,45,64M,6G,1241,2886
1,46,46,64M,6G,1262,2764
1,47,47,64M,6G,1259,2795
1,48,48,64M,6G,1247,2815
1,1,1,128M,400G,1189,1527
1,2,2,128M,200G,1206,2513
1,3,3,128M,133G,1232,2943
1,4,4,128M,100G,1271,3006
1,5,5,128M,80G,1213,2994
1,6,6,128M,66G,1239,2972
1,7,7,128M,57G,1219,2988
1,8,8,128M,50G,1245,2932
1,9,9,128M,44G,1193,2871
1,10,10,128M,40G,1217,2849
1,11,11,128M,36G,1223,2808
1,12,12,128M,33G,1226,2798
1,13,13,128M,30G,1257,2809
1,14,14,128M,28G,1233,2800
1,15,15,128M,26G,1207,2772
1,16,16,128M,25G,1218,2745
1,17,17,128M,23G,1219,2662
1,18,18,128M,22G,1191,2703
1,19,19,128M,21G,1225,2631
1,20,20,128M,20G,1201,2835
1,21,21,128M,19G,1212,2758
1,22,22,128M,18G,1245,2779
1,23,23,128M,17G,1244,2814
1,24,24,128M,16G,1197,2755
1,25,25,128M,16G,1190,2784
1,26,26,128M,15G,1228,2656
1,27,27,128M,14G,1227,2790
1,28,28,128M,14G,1194,2740
1,29,29,128M,13G,1188,2727
1,30,30,128M,13G,1184,2851
1,31,31,128M,12G,1225,2818
1,32,32,128M,12G,1232,2879
1,33,33,128M,12G,1168,2785
1,34,34,128M,11G,1226,2792
1,35,35,128M,11G,1194,2836
1,36,36,128M,11G,1215,2792
1,37,37,128M,10G,1194,2840
1,38,38,128M,10G,1214,2879
1,39,39,128M,10G,1211,2857
1,40,40,128M,10G,1206,2917
1,41,41,128M,9G,1226,2740
1,42,42,128M,9G,1212,2894
1,43,43,128M,9G,1219,2843
1,44,44,128M,9G,1192,2888
1,45,45,128M,8G,1212,2871
1,46,46,128M,8G,1214,2788
1,47,47,128M,8G,1195,2920
1,48,48,128M,8G,1184,2843
