nodes,tasks,clients,xfersize,blocksize,write,read
1,1,1,4K,4M,26,24
1,2,2,4K,4M,51,39
1,3,3,4K,4M,64,51
1,4,4,4K,4M,70,61
1,5,5,4K,4M,74,69
1,6,6,4K,4M,79,73
1,7,7,4K,4M,79,79
1,8,8,4K,4M,82,80
1,9,9,4K,4M,82,82
1,10,10,4K,4M,84,83
1,11,11,4K,4M,85,83
1,12,12,4K,4M,86,85
1,13,13,4K,4M,86,85
1,14,14,4K,4M,88,86
1,15,15,4K,4M,89,86
1,16,16,4K,4M,89,87
1,17,17,4K,4M,89,87
1,18,18,4K,4M,92,102
1,19,19,4K,4M,92,98
1,20,20,4K,4M,93,90
1,21,21,4K,4M,91,91
1,22,22,4K,4M,91,90
1,23,23,4K,4M,91,91
1,24,24,4K,4M,90,91
1,25,25,4K,4M,90,90
1,26,26,4K,4M,90,91
1,27,27,4K,4M,91,91
1,28,28,4K,4M,91,91
1,29,29,4K,4M,91,91
1,30,30,4K,4M,91,91
1,31,31,4K,4M,91,91
1,32,32,4K,4M,91,91
1,33,33,4K,4M,91,91
1,34,34,4K,4M,90,91
1,35,35,4K,4M,90,91
1,36,36,4K,4M,94,90
1,37,37,4K,4M,88,92
1,38,38,4K,4M,89,90
1,39,39,4K,4M,89,91
1,40,40,4K,4M,88,91
1,41,41,4K,4M,88,91
1,42,42,4K,4M,88,91
1,43,43,4K,4M,86,90
1,44,44,4K,4M,87,91
1,45,45,4K,4M,83,90
1,46,46,4K,4M,82,89
1,47,47,4K,4M,72,89
1,48,48,4K,4M,77,89
1,1,1,1M,200M,425,382
1,2,2,1M,200M,667,438
1,3,3,1M,200M,999,576
1,4,4,1M,200M,1048,738
1,5,5,1M,200M,1064,874
1,6,6,1M,200M,1098,1018
1,7,7,1M,200M,1023,1106
1,8,8,1M,200M,1068,1067
1,9,9,1M,200M,1083,1213
1,10,10,1M,200M,1058,1224
1,11,11,1M,200M,1052,1317
1,12,12,1M,200M,1073,1356
1,13,13,1M,200M,1064,1256
1,14,14,1M,200M,1059,1324
1,15,15,1M,200M,1045,1354
1,16,16,1M,200M,1056,1436
1,17,17,1M,200M,1067,1448
1,18,18,1M,200M,1045,1378
1,19,19,1M,200M,1081,1488
1,20,20,1M,200M,1049,1391
1,21,21,1M,200M,1061,1489
1,22,22,1M,200M,1047,1481
1,23,23,1M,200M,1052,1415
1,24,24,1M,200M,1065,1444
1,25,25,1M,200M,1070,1430
1,26,26,1M,200M,1062,1432
1,27,27,1M,200M,1037,1478
1,28,28,1M,200M,1069,1498
1,29,29,1M,200M,1073,1506
1,30,30,1M,200M,1048,1464
1,31,31,1M,200M,1072,1462
1,32,32,1M,200M,1052,1450
1,33,33,1M,200M,1059,1486
1,34,34,1M,200M,1064,1475
1,35,35,1M,200M,1058,1467
1,36,36,1M,200M,1065,1469
1,37,37,1M,200M,1063,1448
1,38,38,1M,200M,1068,1475
1,39,39,1M,200M,1069,1476
1,40,40,1M,200M,1056,1470
1,41,41,1M,200M,1085,1485
1,42,42,1M,200M,1071,1474
1,43,43,1M,200M,1061,1469
1,44,44,1M,200M,1063,1463
1,45,45,1M,200M,1039,1472
1,46,46,1M,200M,1063,1450
1,47,47,1M,200M,1057,1286
1,48,48,1M,200M,1039,1258
1,1,1,4M,400M,355,343
1,2,2,4M,400M,640,435
1,3,3,4M,400M,949,581
1,4,4,4M,400M,1049,777
1,5,5,4M,400M,998,793
1,6,6,4M,400M,994,1008
1,7,7,4M,400M,1032,1113
1,8,8,4M,400M,1054,1110
